full_text,Check refs,wos,scopus,references,link_ref,title,authors,year,Aim,location,cycling,cycling_measurement,lighting,lighting_measurement,measurement_types,research_method,analytical_tool,Unit of analysis,sample,result
1,1,1,1,0,,Neighbourhood design and physical activity,@lee_neighbourhood_2008,2008,"Examine if neighbourhood environments are associated with physical activity, especially walking and cycling",Washington State (US),Cyclists,Subjective,Good lighting at night,Subjective,Subjective,Descriptive,Descriptive statistics,person,608,Good lighting at night is an important facilitator of cycling.
1,1,1,0,0,,Identification of factors that influence cyclistś route choice,@segadilha_identification_2014,2014,Evaluate the perception of factors that might influence cycle route choice,São Carlos (BR),Frequent commuter cyclists,Subjective,street lighting,Subjective,Subjective,Descriptive,Descriptive statistics,person,49,Street lighting and security are two of the main factors (5 and 6 out of 18) for cycle commuting routes after 1) number of trucks 2) buses and 3) traffic volume and 4) speed.
0,0,0,0,1,@castillo-paredes_perceived_2022,Longitudinal associations between built environment characteristics and changes in active commuting,@yang_longitudinal_2017,2017,NO INCLUDED REASON: it fails to separate walking and cycling ,Norfolk (UK),Active commuting,Subjective,Number of streetlights along route,Subjective,Subjective,Correlational,Logistic regression model,,25633,Those living in neighbourhoods with more streetlights were more likely to take up active commuting.
1,0,0,0,1,@uttley_road_2020,A whole-year approach showing that ambient light level influences walking and cycling,@fotios_whole-year_2019,2019,Investigate the reactions to changes in lighting from people who walk or cycle,Arlington County (US),Automated cycle counts,Objective ,Ambient light,Objective ,Objective ,Correlational,Whole-year method using ORs,person,-,More people cycle on cycle trails and walk on foot paths after dark when they are lit than when they are unlit.
0,0,0,0,1,@chen_gps_2018,Route choice of cyclists in Zurich,@menghini_route_2010,2010,"NO INCLUDED REASON: 2 studies mention that this paper found street lighting as essential to increase the sense of security for cyclists. However, I could not find such statement in the study",,,,,,,,,,,
,0,0,0,1,@chen_gps_2018,Influence of Individual Perceptions and Bicycle Infrastructure on Decision to Bike,@akar_influence_2009,2009,,,,,,,,,,,,
,0,0,0,1,@chen_gps_2018,"Cycling, the Built Environment, and Health: Results of aMidwestern Study",@forsyth_cycling_2015,2015,,,,,,,,,,,,
0,0,0,0,1,@chen_gps_2018,Motivators and deterrents ofbicycling: comparinginfluences on decisions toride,@winters_motivators_2011,2011,Evaluate motivators and deterrents of cycling,Metro Vancouver,-,Subjective,-,Subjective,Subjective,Descriptive,Descriptive statistics,current and potential cyclists,1402,"If the route is not well lit after-dark is a major deterrent to cycling, especially for potential cyclists."
,0,0,0,1,@poorfakhraei_estimating_2015,Factors associated with bicycle ownership and use: A study of six small US cities,@handy_factors_2010,2010,,,,,,,,,,,,
0,0,0,0,1,@poorfakhraei_estimating_2015,"Travel demand and the 3Ds: Density, diversity, and design",@cervero_travel_1997,1997,NO INCLUDED REASON: it referes to non-automobile travel not specifically to cycling.,,,,,,,,,,,
,0,0,0,1,@poorfakhraei_estimating_2015,"Cycling and the built environment, a US perspective",@moudon_cycling_2005,2005,,,,,,,,,,,,
,0,0,0,1,@lee_neighbourhood_2008,"Walking, bicycling, and urban landscapes: evidence from the San Francisco Bay area",@cervero_walking_2003,2003,,,,,,,,,,,,
